MAG,ncbi_taxid,mapping_status,Depth so240416_duplex,n_trait_rows,n_unique_traits,api_status
FLYE-CONCOCT-so240416_duplex_202.fa,1647988.0,mapped,3.41006,0,0,request_failed
FLYE-MaxBin2-so240416_duplex.055.fa,1853229.0,mapped,12.5524,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.100.fa,2910168.0,mapped,20.678,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.105.fa,89374.0,mapped,12.23255,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.123.fa,1224.0,mapped,22.6374,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.163.fa,3098102.0,mapped,9.52836,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.251.fa,1224.0,mapped,25.3022,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.254.fa,2433.0,mapped,22.3542,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.465.fa,543070.0,mapped,55.0898,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.581.fa,200795.0,mapped,26.01805,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.669.fa,1913989.0,mapped,15.8816,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.844.fa,2913493.0,mapped,21.8623,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.849.fa,167375.0,mapped,19.47605,0,0,request_failed
FLYE-MetaBAT2-so240416_duplex.99.fa,1913989.0,mapped,44.3266,0,0,request_failed
METAMDBG-CONCOCT-so240416_duplex_120.fa,1224.0,mapped,10.2999,0,0,request_failed
METAMDBG-CONCOCT-so240416_duplex_162.fa,1236.0,mapped,8.84393,0,0,request_failed
METAMDBG-CONCOCT-so240416_duplex_62.fa,543070.0,mapped,51.6029,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.002.fa,1117.0,mapped,46.29275,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.003.fa,543070.0,mapped,54.374,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.006.fa,1913989.0,mapped,40.6497,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.008.fa,2026806.0,mapped,39.5663,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.009.fa,89374.0,mapped,27.8481,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.042.fa,200643.0,mapped,11.7915,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.1075.fa,1236.0,mapped,15.34305,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.1128.fa,2006849.0,mapped,15.486,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.1203.fa,1738654.0,mapped,23.8674,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.1253.fa,84992.0,mapped,13.8331,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.1433.fa,1117.0,mapped,53.35835,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.427.fa,2026806.0,mapped,39.4209,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.51.fa,1760.0,mapped,51.46355,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.708.fa,28211.0,mapped,6.3426100000000005,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.765.fa,1224.0,mapped,21.599,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.8.fa,89374.0,mapped,12.069,0,0,request_failed
METAMDBG-MetaBAT2-so240416_duplex.890.fa,1913989.0,mapped,40.7536,0,0,request_failed
SPAdesHybrid-MaxBin2-so240416_duplex.005.fa,2026806.0,mapped,16.5647,0,0,request_failed
SPAdesHybrid-MetaBAT2-so240416_duplex.18.fa,2780488.0,mapped,19.4025,0,0,request_failed
SPAdesHybrid-MetaBAT2-so240416_duplex.49.fa,2026806.0,mapped,16.7156,0,0,request_failed
METAMDBG-MaxBin2-so240416_duplex.033.fa,,unmapped,14.8353,0,0,unmapped
METAMDBG-MetaBAT2-so240416_duplex.1405.fa,,unmapped,14.2047,0,0,unmapped
