sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
EMOBON_RFormosa_So_210805_micro_1_DBH_AAALOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_210805_micro_1_DBH_AAALOSDA_1_1_HMNJKDSX3.UDI236_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_210805_micro_1_DBH_AAALOSDA_1_2_HMNJKDSX3.UDI236_clean.fastq.gz,
EMOBON_RFormosa_So_210805_micro_2_DBH_AAAMOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_210805_micro_2_DBH_AAAMOSDA_4_1_HMNJKDSX3.UDI250_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_210805_micro_2_DBH_AAAMOSDA_4_2_HMNJKDSX3.UDI250_clean.fastq.gz,
EMOBON_RFormosa_So_211022_micro_1_DBH_AABAOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211022_micro_1_DBH_AABAOSDA_1_1_HCFCYDSX5.UDI129_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211022_micro_1_DBH_AABAOSDA_1_2_HCFCYDSX5.UDI129_clean.fastq.gz,
EMOBON_RFormosa_So_211022_micro_2_DBH_AABBOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211022_micro_2_DBH_AABBOSDA_1_1_HCFCYDSX5.UDI130_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211022_micro_2_DBH_AABBOSDA_1_2_HCFCYDSX5.UDI130_clean.fastq.gz,
EMOBON_RFormosa_So_211220_micro_1_DBH_AABCOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211220_micro_1_DBH_AABCOSDA_1_1_HCFCYDSX5.UDI131_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211220_micro_1_DBH_AABCOSDA_1_2_HCFCYDSX5.UDI131_clean.fastq.gz,
EMOBON_RFormosa_So_211220_micro_2_DBH_AABDOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211220_micro_2_DBH_AABDOSDA_1_1_HCFCYDSX5.UDI132_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_211220_micro_2_DBH_AABDOSDA_1_2_HCFCYDSX5.UDI132_clean.fastq.gz,
EMOBON_RFormosa_So_220224_micro_1_DBH_AABYOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220224_micro_1_DBH_AABYOSDA_2_1_HJWK3DSX7.UDI073_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220224_micro_1_DBH_AABYOSDA_2_2_HJWK3DSX7.UDI073_clean.fastq.gz,
EMOBON_RFormosa_So_220224_micro_2_DBH_AABZOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220224_micro_2_DBH_AABZOSDA_2_1_HJWK3DSX7.UDI085_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220224_micro_2_DBH_AABZOSDA_2_2_HJWK3DSX7.UDI085_clean.fastq.gz,
EMOBON_RFormosa_So_220428_micro_1_DBH_AACDOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220428_micro_1_DBH_AACDOSDA_2_1_HJWK3DSX7.UDI038_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220428_micro_1_DBH_AACDOSDA_2_2_HJWK3DSX7.UDI038_clean.fastq.gz,
EMOBON_RFormosa_So_220428_micro_2_DBH_AACEOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220428_micro_2_DBH_AACEOSDA_2_1_HJWK3DSX7.UDI050_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220428_micro_2_DBH_AACEOSDA_2_2_HJWK3DSX7.UDI050_clean.fastq.gz,
EMOBON_RFormosa_So_220629_micro_1_DBH_AACFOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220629_micro_1_DBH_AACFOSDA_2_1_HJWK3DSX7.UDI062_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220629_micro_1_DBH_AACFOSDA_2_2_HJWK3DSX7.UDI062_clean.fastq.gz,
EMOBON_RFormosa_So_220629_micro_2_DBH_AACAOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220629_micro_2_DBH_AACAOSDA_2_1_HJWK3DSX7.UDI002_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220629_micro_2_DBH_AACAOSDA_2_2_HJWK3DSX7.UDI002_clean.fastq.gz,
EMOBON_RFormosa_So_220909_micro_1_DBH_AACBOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220909_micro_1_DBH_AACBOSDA_2_1_HJWK3DSX7.UDI014_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220909_micro_1_DBH_AACBOSDA_2_2_HJWK3DSX7.UDI014_clean.fastq.gz,
EMOBON_RFormosa_So_220909_micro_2_DBH_AACCOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220909_micro_2_DBH_AACCOSDA_2_1_HJWK3DSX7.UDI026_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_220909_micro_2_DBH_AACCOSDA_2_2_HJWK3DSX7.UDI026_clean.fastq.gz,
EMOBON_RFormosa_So_221021_micro_1_DBH_AADJOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221021_micro_1_DBH_AADJOSDA_3_1_HF7GWDSXC.UDI097_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221021_micro_1_DBH_AADJOSDA_3_2_HF7GWDSXC.UDI097_clean.fastq.gz,
EMOBON_RFormosa_So_221021_micro_2_DBH_AADKOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221021_micro_2_DBH_AADKOSDA_3_1_HF7GWDSXC.UDI109_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221021_micro_2_DBH_AADKOSDA_3_2_HF7GWDSXC.UDI109_clean.fastq.gz,
EMOBON_RFormosa_So_221216_micro_1_DBH_AADLOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221216_micro_1_DBH_AADLOSDA_3_1_HF7GWDSXC.UDI121_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221216_micro_1_DBH_AADLOSDA_3_2_HF7GWDSXC.UDI121_clean.fastq.gz,
EMOBON_RFormosa_So_221216_micro_2_DBH_AADMOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221216_micro_2_DBH_AADMOSDA_3_1_HF7GWDSXC.UDI133_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_221216_micro_2_DBH_AADMOSDA_3_2_HF7GWDSXC.UDI133_clean.fastq.gz,
EMOBON_RFormosa_So_230420_micro_1_DBH_AADNOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230420_micro_1_DBH_AADNOSDA_3_1_HF7GWDSXC.UDI145_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230420_micro_1_DBH_AADNOSDA_3_2_HF7GWDSXC.UDI145_clean.fastq.gz,
EMOBON_RFormosa_So_230420_micro_2_DBH_AADOOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230420_micro_2_DBH_AADOOSDA_3_1_HF7GWDSXC.UDI157_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230420_micro_2_DBH_AADOOSDA_3_2_HF7GWDSXC.UDI157_clean.fastq.gz,
EMOBON_RFormosa_So_230703_micro_1_DBH_AADPOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230703_micro_1_DBH_AADPOSDA_3_1_HF7GWDSXC.UDI169_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230703_micro_1_DBH_AADPOSDA_3_2_HF7GWDSXC.UDI169_clean.fastq.gz,
EMOBON_RFormosa_So_230703_micro_2_DBH_AADQOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230703_micro_2_DBH_AADQOSDA_3_1_HF7GWDSXC.UDI181_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230703_micro_2_DBH_AADQOSDA_3_2_HF7GWDSXC.UDI181_clean.fastq.gz,
EMOBON_RFormosa_So_230906_micro_1_DBH_AADSOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230906_micro_1_DBH_AADSOSDA_3_1_HF7GWDSXC.UDI098_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230906_micro_1_DBH_AADSOSDA_3_2_HF7GWDSXC.UDI098_clean.fastq.gz,
EMOBON_RFormosa_So_230906_micro_2_DBH_AADTOSDA,0,ILLUMINA,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230906_micro_2_DBH_AADTOSDA_3_1_HF7GWDSXC.UDI110_clean.fastq.gz,/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/SEDIMENTS/EMOBON_RFormosa_So_230906_micro_2_DBH_AADTOSDA_3_2_HF7GWDSXC.UDI110_clean.fastq.gz,


EMOBON_RFormosa_Wa_210805_0.2um_1_DBB_AACNOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_0.2um_1_DBB_AACNOSDA_1_1_HMNJKDSX3.UDI234_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_0.2um_1_DBB_AACNOSDA_1_2_HMNJKDSX3.UDI234_clean.fastq.gz"
EMOBON_RFormosa_Wa_210805_0.2um_2_DBB_AACOOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_0.2um_2_DBB_AACOOSDA_1_1_HMNJKDSX3.UDI246_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_0.2um_2_DBB_AACOOSDA_1_2_HMNJKDSX3.UDI246_clean.fastq.gz"
EMOBON_RFormosa_Wa_210805_3um_1_DBB_AACLOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_3um_1_DBB_AACLOSDA_4_1_HMGW5DSX3.UDI210_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_3um_1_DBB_AACLOSDA_4_2_HMGW5DSX3.UDI210_clean.fastq.gz"
EMOBON_RFormosa_Wa_210805_3um_2_DBB_AACMOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_3um_2_DBB_AACMOSDA_4_1_HMGW5DSX3.UDI222_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_210805_3um_2_DBB_AACMOSDA_4_2_HMGW5DSX3.UDI222_clean.fastq.gz"
EMOBON_RFormosa_Wa_211022_0.2um_1_DBB_AAGJOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_0.2um_1_DBB_AAGJOSDA_1_1_HVWGWDSX5.UDI162_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_0.2um_1_DBB_AAGJOSDA_1_2_HVWGWDSX5.UDI162_clean.fastq.gz"
EMOBON_RFormosa_Wa_211022_0.2um_2_DBB_AAGKOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_0.2um_2_DBB_AAGKOSDA_1_1_HVWGWDSX5.UDI174_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_0.2um_2_DBB_AAGKOSDA_1_2_HVWGWDSX5.UDI174_clean.fastq.gz"
EMOBON_RFormosa_Wa_211022_3um_1_DBB_AAGDOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_3um_1_DBB_AAGDOSDA_2_1_HVWGWDSX5.UDI102_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_3um_1_DBB_AAGDOSDA_2_2_HVWGWDSX5.UDI102_clean.fastq.gz"
EMOBON_RFormosa_Wa_211022_3um_2_DBB_AAGIOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_3um_2_DBB_AAGIOSDA_2_1_HVWGWDSX5.UDI150_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211022_3um_2_DBB_AAGIOSDA_2_2_HVWGWDSX5.UDI150_clean.fastq.gz"
EMOBON_RFormosa_Wa_211220_0.2um_1_DBB_AAGNOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_0.2um_1_DBB_AAGNOSDA_1_1_HVWGWDSX5.UDI115_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_0.2um_1_DBB_AAGNOSDA_1_2_HVWGWDSX5.UDI115_clean.fastq.gz"
EMOBON_RFormosa_Wa_211220_0.2um_2_DBB_AAGOOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_0.2um_2_DBB_AAGOOSDA_1_1_HVWGWDSX5.UDI127_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_0.2um_2_DBB_AAGOOSDA_1_2_HVWGWDSX5.UDI127_clean.fastq.gz"
EMOBON_RFormosa_Wa_211220_3um_1_DBB_AAGLOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_3um_1_DBB_AAGLOSDA_2_1_HVWGWDSX5.UDI186_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_3um_1_DBB_AAGLOSDA_2_2_HVWGWDSX5.UDI186_clean.fastq.gz"
EMOBON_RFormosa_Wa_211220_3um_2_DBB_AAGMOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_3um_2_DBB_AAGMOSDA_2_1_HVWGWDSX5.UDI103_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_211220_3um_2_DBB_AAGMOSDA_2_2_HVWGWDSX5.UDI103_clean.fastq.gz"
EMOBON_RFormosa_Wa_2200428_0.2um_1_DBB_AAMVOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_2200428_0.2um_1_DBB_AAMVOSDA_1_1_HW7YYDSX7.UDI246_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_2200428_0.2um_1_DBB_AAMVOSDA_1_2_HW7YYDSX7.UDI246_clean.fastq.gz"
EMOBON_RFormosa_Wa_2200428_3um_2_DBB_AAMUOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_2200428_3um_2_DBB_AAMUOSDA_2_1_HV3HNDSX7.UDI184_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_2200428_3um_2_DBB_AAMUOSDA_2_2_HV3HNDSX7.UDI184_clean.fastq.gz"
EMOBON_RFormosa_Wa_220224_0.2um_1_DBB_AAMROSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_0.2um_1_DBB_AAMROSDA_1_1_HW7YYDSX7.UDI222_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_0.2um_1_DBB_AAMROSDA_1_2_HW7YYDSX7.UDI222_clean.fastq.gz"
EMOBON_RFormosa_Wa_220224_0.2um_2_DBB_AAMSOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_0.2um_2_DBB_AAMSOSDA_1_1_HW7YYDSX7.UDI234_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_0.2um_2_DBB_AAMSOSDA_1_2_HW7YYDSX7.UDI234_clean.fastq.gz"
EMOBON_RFormosa_Wa_220224_3um_1_DBB_AAMPOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_3um_1_DBB_AAMPOSDA_1_1_H5YH5DSXC.UDI309_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_3um_1_DBB_AAMPOSDA_1_2_H5YH5DSXC.UDI309_clean.fastq.gz"
EMOBON_RFormosa_Wa_220224_3um_2_DBB_AAMQOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_3um_2_DBB_AAMQOSDA_1_1_H5YH5DSXC.UDI346_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220224_3um_2_DBB_AAMQOSDA_1_2_H5YH5DSXC.UDI346_clean.fastq.gz"
EMOBON_RFormosa_Wa_220428_0.2um_2_DBB_AAMWOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220428_0.2um_2_DBB_AAMWOSDA_1_1_HW7YYDSX7.UDI258_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220428_0.2um_2_DBB_AAMWOSDA_1_2_HW7YYDSX7.UDI258_clean.fastq.gz"
EMOBON_RFormosa_Wa_220428_3um_1_DBB_AAMTOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220428_3um_1_DBB_AAMTOSDA_2_1_HV3HNDSX7.UDI172_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220428_3um_1_DBB_AAMTOSDA_2_2_HV3HNDSX7.UDI172_clean.fastq.gz"
EMOBON_RFormosa_Wa_220629_0.2um_1_DBB_AAMZOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220629_0.2um_1_DBB_AAMZOSDA_1_1_HW7YYDSX7.UDI270_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220629_0.2um_1_DBB_AAMZOSDA_1_2_HW7YYDSX7.UDI270_clean.fastq.gz"
EMOBON_RFormosa_Wa_220629_0.2um_2_DBB_AANAOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220629_0.2um_2_DBB_AANAOSDA_1_1_HW7YYDSX7.UDI282_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220629_0.2um_2_DBB_AANAOSDA_1_2_HW7YYDSX7.UDI282_clean.fastq.gz"
EMOBON_RFormosa_Wa_220629_3um_1_DBB_AAMXOSDA,0,ILLUMINA,"/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220629_3um_1_DBB_AAMXOSDA_2_1_HV3HNDSX7.UDI101_clean.fastq.gz","/home2/Old_storage/canario-lab/bruno/EMOBON/www.genoscope.cns.fr/sadc/projet_DBB/FILTERS/EMOBON_RFormosa_Wa_220629_3um_1_DBB_AAMXOSDA_2_2_HV3HNDSX7.UDI101_clean.fastq.gz"
